Genre_A,Genre_B,Title
RPG,어드벤처,세 장의 카드
RPG,인디,세 장의 카드
무료,액션,세 장의 카드
무료,어드벤처,세 장의 카드
무료,인디,세 장의 카드
액션,어드벤처,세 장의 카드
액션,인디,세 장의 카드
어드벤처,인디,세 장의 카드
대규모 멀티플레이어,레이싱,Bro Falls: Ultimate Showdown
대규모 멀티플레이어,무료,Bro Falls: Ultimate Showdown
대규모 멀티플레이어,앞서 해보기,Bro Falls: Ultimate Showdown
대규모 멀티플레이어,액션,Bro Falls: Ultimate Showdown
대규모 멀티플레이어,인디,Bro Falls: Ultimate Showdown
대규모 멀티플레이어,캐주얼,Bro Falls: Ultimate Showdown
레이싱,무료,Bro Falls: Ultimate Showdown
레이싱,앞서 해보기,Bro Falls: Ultimate Showdown
레이싱,액션,Bro Falls: Ultimate Showdown
레이싱,인디,Bro Falls: Ultimate Showdown
레이싱,캐주얼,Bro Falls: Ultimate Showdown
무료,앞서 해보기,Bro Falls: Ultimate Showdown
무료,액션,Bro Falls: Ultimate Showdown
무료,인디,Bro Falls: Ultimate Showdown
무료,캐주얼,Bro Falls: Ultimate Showdown
앞서 해보기,액션,Bro Falls: Ultimate Showdown
앞서 해보기,인디,Bro Falls: Ultimate Showdown
앞서 해보기,캐주얼,Bro Falls: Ultimate Showdown
액션,인디,Bro Falls: Ultimate Showdown
액션,캐주얼,Bro Falls: Ultimate Showdown
인디,캐주얼,Bro Falls: Ultimate Showdown
어드벤처,인디,Behind the Frame: The Finest Scenery
어드벤처,캐주얼,Behind the Frame: The Finest Scenery
인디,캐주얼,Behind the Frame: The Finest Scenery
액션,어드벤처,Blood Spear
액션,인디,Blood Spear
어드벤처,인디,Blood Spear
인디,,Deepest Sword
<No Genres>,,RunnerDot
어드벤처,인디,Sokocat - Dungeon
어드벤처,전략,Sokocat - Dungeon
어드벤처,캐주얼,Sokocat - Dungeon
인디,전략,Sokocat - Dungeon
인디,캐주얼,Sokocat - Dungeon
전략,캐주얼,Sokocat - Dungeon
캐주얼,,CANNON
